           x            y            
-0.362918484  -0.343933386
-1.260652468  -0.206985279
-1.889607866  0.334812561
-2.05908662  0.805213403
-2.627748451  1.263705756
-3.13374091  2.107482959
-3.530967847  2.947920641
-3.970893301  3.754347292
-4.494220099  4.474482854
-4.658076888  4.946871415
-5.49106068  5.420992805
-6.356856778  5.766921999
-7.210969109  5.723331313
-8.162600561  6.021706468
-9.013650519  5.815844968
-9.656708048  5.225539837
-10.189401492  4.497262061
-10.44711253  3.896548296
-10.475206058  3.051189692
-10.295393042  2.584641432
-10.333688672  1.807810218
-9.798064329  0.963574046
